Abagrotis alternata	Greater red dart moth
Abalistes stellaris	Starry triggerfish
Abavorana luctuosa	Mahogany frog
Abbottina obtusirostris	Chinese false gudgeon
Abbottina rivularis	Chinese false gudgeon
Abia lonicerae	Black-horned sawfly
Abies	Fir trees
Abies bracteata	Bristle-cone fir
Abispa ephippium	Large potter wasp
Ablabys binotatus	Redskinfish
Ablabys taenianotus	Cockatoo waspfish
Ablepharus chernovi	Chernov's skink
Ablepharus grayanus	Minor snake-eyed skink
Ablepharus rueppellii	Rueppels snake-eyed skink
Aboma etheostoma	Scaly goby
Abramis brama	Common bream
Abramites hypselonotus	Marbled headstander
Abrawayaomys chebezi	Chebez's spiny mouse
Abrawayaomys ruschii	Ruschi's rat
Abraxas sylvata	Clouded magpie
Abrocoma bennettii	Bennett's chinchilla rat
Abrocoma boliviensis	Bolivian chinchilla rat
Abrocoma cinerea	Ashy chinchilla rat
Abronia aurita	Cope's arboreal alligator lizard
Abrornis chloronotus	Pale-rumped warbler
Abrornis forresti	Sichuan leaf-warbler
Abrornis humei	Buff-browed warbler
Abrornis inornata	Yellow-browed warbler
Abrornis kansuensis	Gansu leaf warbler
Abrornis maculipennis	Ashy-throated warbler
Abrornis proregulus	Pallas's leaf-warbler
Abrornis yunnanensis	La Touche's leaf-warbler
Abroscopus albogularis	Rufous-faced warbler
Abrostola triplasia	Dark spectacle
Abrothrix andinus	Andean akodont
Abrothrix hershkovitzi	Hershkovitz's akodont
Abrothrix illuteus	Gray akodont
Abrothrix jelskii	Jelski's South American field mouse
Abrothrix longipilis	Long-haired grass mouse
Abrothrix manni	Manns soft-haired mouse
Abrothrix markhami	Wellington akodont
Abrothrix olivaceus	Olive grass mouse
Abrothrix sanborni	Sanborn's akodont
Abrus precatorius	Indian licorice
Abudefduf abdominalis	Green damselfish
Abudefduf bengalensis	Bengal sergeant
Abudefduf concolor	Night sergeant
Abudefduf declivifrons	Mexican nightsergeant
Abudefduf hoefleri	African sergeant
Abudefduf lorenzi	Black-tail sergeant
Abudefduf luridus	Canary damselfish
Abudefduf margariteus	Pearly sergeant
Abudefduf notatus	Yellowtail sergeant
Abudefduf saxatilis	Sergeant major
Abudefduf septemfasciatus	Banded sergeant
Abudefduf sexfasciatus	Scissortail sergeant
Abudefduf sordidus	Blackspot sergeant
Abudefduf sparoides	False-eye sergeant
Abudefduf taurus	Night sergeant
Abudefduf troschelii	Panama sergeant major
Abudefduf vaigiensis	Indo-Pacific sergeant
Abutilon theophrasti	China jute
Acalymma vittatum	Striped cucumber beetle
Acanthalburnus microlepis	Blackbrow bleak
Acanthaluteres brownii	Spiny-tailed leatherjacket
Acanthaluteres spilomelanurus	Bridled leatherjacket
Acanthaluteres vittiger	Toothbrush leatherjacket
Acanthascus dawsoni	Boot sponge
Acanthaster planci	Crown-of-thorns starfish
Acanthemblemaria aspera	Roughhead blenny
Acanthemblemaria balanorum	Clubhead blenny
Acanthemblemaria betinensis	Speckled blenny
Acanthemblemaria castroi	Galapagos barnacle blenny
Acanthemblemaria chaplini	Papillose blenny
Acanthemblemaria crockeri	Browncheek blenny
Acanthemblemaria exilispinus	Bluntspine blenny
Acanthemblemaria greenfieldi	False papillose blenny
Acanthemblemaria hancocki	Hancock's blenny
Acanthemblemaria macrospilus	Barnacle blenny
Acanthemblemaria maria	Secretary blenny
Acanthemblemaria medusa	Medusa blenny
Acanthemblemaria paula	Dwarf spinyhead blenny
Acanthemblemaria rivasi	Spotjaw blenny
Acanthemblemaria spinosa	Spinyhead blenny
Acanthis	Redpolls
Acanthis cabaret	Lesser redpoll
Acanthis flammea	Common redpoll
Acanthisitta chloris	Rifleman
Acanthisitta chloris chloris	South Island rifleman
Acanthisittidae	New Zealand wrens
Acanthistius brasilianus	Argentine seabass
Acanthistius joanae	Scalyjaw koester
Acanthistius ocellatus	Eastern wirrah
Acanthixalus	African wart frogs
Acanthixalus sonjae	Ivory Coast wart frog
Acanthixalus spinosus	African wart frog
Acanthiza apicalis	Broad-tailed thornbill
Acanthiza chrysorrhoa	Yellow-rumped thornbill
Acanthiza ewingii	Tasmanian thornbill
Acanthiza inornata	Western thornbill
Acanthiza iredalei	Slender-billed thornbill
Acanthiza katherina	Mountain thornbill
Acanthiza lineata	Striated thornbill
Acanthiza murina	Papuan thornbill
Acanthiza nana	Yellow thornbill
Acanthiza pusilla	Brown thornbill
Acanthiza reguloides	Buff-rumped thornbill
Acanthiza robustirostris	Slaty-backed thornbill
Acanthiza uropygialis	Chestnut-rumped thornbill
Acanthocardia echinata	European prickly cockle
Acanthocardia tuberculata	Tuberculate cockle
Acanthocephala	Thorny-headed worms
Acanthocepola krusensternii	Red-spotted bandfish
Acanthocepola limbata	Blackspot bandfish
Acanthocercus adramitanus	Hadramaut agama
Acanthochaenus luetkenii	Pricklefish
Acanthochelys spixii	Black spine-necked swamp turtle
Acanthochromis polyacanthus	Spiny chromis
